GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-servlet-app,com.revature.web,FrontController,75,0,14,0,32,0,16,0,3,0
employee-servlet-app,com.revature.web,RequestHelper,933,0,54,0,220,0,51,0,24,0
employee-servlet-app,com.revature.dao,ReimbursementDao,165,0,10,0,64,0,12,0,7,0
employee-servlet-app,com.revature.dao,Test,29,0,0,0,7,0,2,0,2,0
employee-servlet-app,com.revature.dao,EmployeeDao,145,0,12,0,58,0,12,0,6,0
employee-servlet-app,com.revature.models,Reimbursement,179,150,15,9,22,47,16,21,4,21
employee-servlet-app,com.revature.models,Employee,87,155,9,11,4,48,11,19,2,18
employee-servlet-app,com.revature.models,ReimbResponseJSON,311,0,24,0,65,0,36,0,24,0
employee-servlet-app,com.revature.models,ReimbResponseJSON_Mngr,333,0,28,0,64,0,41,0,27,0
employee-servlet-app,com.revature.enums,Role,0,15,0,0,0,1,0,1,0,1
employee-servlet-app,com.revature.enums,ReimbType,0,21,0,0,0,1,0,1,0,1
employee-servlet-app,com.revature.enums,Status,0,21,0,0,0,1,0,1,0,1
employee-servlet-app,com.revature.service,ManagerService,9,325,2,18,5,64,3,28,1,20
employee-servlet-app,com.revature.service,ReimbursementService,0,20,0,0,0,6,0,4,0,4
employee-servlet-app,com.revature.service,ManagerService.new Authenticator() {...},0,12,0,0,0,2,0,2,0,2
employee-servlet-app,com.revature.service,EmployeeService,2,131,1,9,1,28,2,18,1,14
employee-servlet-app,com.revature.util,HibernateUtil,21,0,2,0,7,0,5,0,4,0
